Taak;Status;Prioriteit
A-001 — EF1131 veiligstellen (NEN-3840) – overleg + tijdelijke werkwijze/WPI/MoC borgen;Niet gestart;Normaal
A-002 — Onveilige aansluiting lichtmast (NEN-3140): installatiepartij achterhalen, herstel organiseren, terugkoppelen;Niet gestart;Normaal
A-003 — MELK/OD D80 / Bevoegd Gezag (329504): technische onderbouwing checken/aanvullen + brief finaliseren/fiatteren;Niet gestart;Normaal
A-004 — Legionella beheersplan GSL: risicoleidingen, tekeningen borgen, maandregistratie starten;Niet gestart;Normaal
"A-005 — Veiligheidsmelding #231343: opvolgmaatregelen & ""time-out"" borgen + terugkoppeling plannen";Niet gestart;Normaal
A-006 — Fair & Just: 3 gesprekken voeren/laten voeren + status registreren;Niet gestart;Normaal
A-007 — CILT stilstanden: starttijd 05:00 bevestigen + firma's informeren;Niet gestart;Normaal
A-008 — Bandenprognose EVB: afronden/indienen (afstemming Brecht);Niet gestart;Normaal
A-009 — LINKK klachten: jouw actieregels bijwerken (incl. #37) + 5xWhy's checken;Niet gestart;Normaal
A-010 — OD D80 milieucorrespondentie: feiten/samenvatting leveren via Geoffrey/Brecht naar Marco;Niet gestart;Normaal
A-011 — DS-meters tarering + SM31 stuurrol fix borgen;Niet gestart;Normaal
A-012 — Week 21 SM31 stilstand: draaiboek tijdig starten;Niet gestart;Normaal
A-013 — Week 25 stilstand PEFA: voorbereiding opstarten;Niet gestart;Normaal
A-014 — TC-casus PEFA (Fred Dijkstra): gesprek plannen + rolafspraken;Niet gestart;Normaal
A-015 — Overplotting externen EVB: lijst checken + besluit bevestigen (spoed);Niet gestart;Normaal
A-016 — Huisvesting EVB Lokaal (ruimte 2D25): correctie verwerken;Niet gestart;Normaal
A-017 — Consignatiedienst EVB: beleid toepassen + roosters t/m 1-mei laten lopen;Niet gestart;Normaal
A-018 — Natuurvergunning: projectenlijst invullen (kolom G/H) + Excel-filterfix toepassen;Niet gestart;Normaal
A-019 — Emerging Work overdracht: communicatie naar TL's (t/m 31-03 / vanaf 01-04);Niet gestart;Normaal
A-020 — Maintenance Execution trainingen: teams inplannen + placeholders + kalender;Niet gestart;Normaal
A-021 — Aanwijzingen-matrix invullen voor jouw WE/afdeling (compliance);Niet gestart;Normaal
A-022 — J2R/CAMF: shutdown-data en selfassessments borgen;Niet gestart;Normaal
A-023 — BOD toelichting: F&J gesprekken richting Board of Directors (ABL-plan);Niet gestart;Normaal
A-024 — Storingsdienst kandidaat: beoordeling + terugkoppeling (Mieke, cc Erik);Niet gestart;Normaal
A-025 — Re-integratie: vertrouwelijke punten opvolgen + planning bevestigen;Niet gestart;Normaal
A-026 — Wagenpark: per team behoefte bepalen;Niet gestart;Normaal
A-027 — Scheidslijn planningshorizon lokaal/field: definitiesheet + communicatie;Niet gestart;Normaal
A-028 — Inhuur: beoordeling & capaciteitscheck;Niet gestart;Normaal
A-029 — Kernverantwoordelijkheden TC'er opstellen & verdelen;Niet gestart;Normaal
"A-030 — ""Lege stoelen"": statusupdate + impact teams";Niet gestart;Normaal
A-031 — TRIO / F3F4 update ophalen + PvA afstemmen;Niet gestart;Normaal
A-032 — PvA sanering LK122: status & afronding;Niet gestart;Normaal
A-033 — Civiel & Constructie team 3 bij PTS: afstemmen + voorstel;Niet gestart;Normaal
"A-034 — Keuze/uitvoering: ""agenda's inschieten"" vs ""PM'ers laten invullen""";Niet gestart;Normaal
A-035 — AP2027 IT/OT: PM20/PM30/Capex bundelen + vraag Job beantwoorden;Niet gestart;Normaal
A-036 — Schadeonderzoek E401: kosten + foto's verzamelen + terugkoppeling Angela;Niet gestart;Normaal
A-037 — MoC OS019/WG023: beoordelen & autoriseren;Niet gestart;Normaal
"A-038 — One-pager ""katverhaaltrommel"" maken + verspreiden";Niet gestart;Normaal
A-039 — MoC autoriseren: MoC melding 600039085 Monstername kooksbrekerij beoordelen en besluiten;Niet gestart;Normaal
A-040 — DMS-approval: Document Pending for Approval goedkeuren/doorzetten (workflow nog 10 dagen);Niet gestart;Normaal
A-041 — Inhuur/contract: Verzoek goedkeuren opdracht R Groos ter autorisatie;Niet gestart;Normaal
A-042 — Acculaadstations GSL (QHSE): opvolgen bij Gonggrijp, Ronald (status inventarisatie/aanpak);Niet gestart;Normaal
A-043 — RI&E-status: reactie geven op RI&E acties (status aangeven);Niet gestart;Normaal
A-044 — U700-las / korte-termijn plan: afstemmen wat nodig is (duur, timing, of wissel noodzakelijk);Niet gestart;Normaal
